"","STAT_ID","start_time","end_time","K_start","K_end","K_avg","duration","K_dif","K_slope","K_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100001,1978-05-11,1994-08-03,12.788,10.231,13.011247706422,16.241095890411,-2.557,-0.157440114709852,-19.995308101345,"ST. JOHN RIVER AT VAN BUREN, ME","1015000","USA","ME",47.15,-67.93,"NA1983"
"2",100007,1978-12-01,1994-08-02,20.461,20.461,14.9891162790698,15.6794520547945,0,0,0,"PENOBSCOT RIVER AT EDDINGTON, ME","1036390","USA","ME",44.82,-68.69,"NA1983"
"3",100009,1978-10-16,2000-09-12,12.788,27.879,19.0119703703704,21.9232876712329,15.091,0.688354786303424,118.009071004066,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE","1049265","USA","MAINE",44.47,-69.68,"NA1983"
"4",100029,1973-01-17,1995-01-17,28.134,25.577,28.5120067114094,22.013698630137,-2.557,-0.116154947106409,-9.08864718845524,"MERRIMACK RIVER ABOVE LOWELL, MA","1096550","USA","MA",42.63,-71.37,"NA1983"
"5",100047,1973-05-09,1995-08-29,61.384,230.191,81.5120217391304,22.3205479452055,168.807,7.56285197005033,275.001629089013,"BLACKSTONE RIVER AT MILLVILLE, MA","1111230","USA","MA",42.02,-71.56,"NA1983"
"6",100052,1974-07-08,2001-09-26,NA,79.288,40.4416016949153,27.2383561643836,NA,NA,NA,"SHETUCKET R AT SOUTH WINDHAM, CT","1122610","USA","CONNECTICUT",41.68,-72.16,"NA1983"
"7",100056,1973-01-08,2001-09-26,25.577,89.519,48.8083676470588,28.7342465753425,63.942,2.22528890160183,249.998045118661,"QUINEBAUG RIVER AT JEWETT CITY, CT.","1127000","USA","CONNECTICUT",41.59,-71.98,"NA1983"
"8",100071,1980-10-28,1994-07-12,28.134,30.692,26.2702881355932,13.7123287671233,2.558,0.186547452547453,9.092201606597,"CONNECTICUT RIVER AT NORTH WALPOLE, NH","1154500","USA","NH",43.12,-72.43,"NA1983"
"9",100134,1973-01-09,1995-09-12,25.577,56.269,44.8949776536313,22.6876712328767,30.692,1.35280521676126,119.998436094929,"HOUSATONIC R AT STEVENSON, CT","1205500","USA","CT",41.38,-73.16,"NA1983"
"10",100145,1973-02-21,1997-06-18,28.134,25.577,39.0089440559441,24.3369863013699,-2.557,-0.105066419002589,-9.08864718845524,"PECONIC RIVER AT RIVERHEAD NY","1304500","USA","NEW YORK",40.91,-72.68,"NA1983"
"11",100146,1985-02-27,1997-06-18,30.692,27.367,27.8750555555556,12.3123287671233,-3.325,-0.270054517133956,-10.8334419392676,"CARMANS RIVER AT YAPHANK NY","1305000","USA","NEW YORK",40.83,-72.9,"NA1983"
"12",100206,1963-08-20,1992-08-04,2.558,10.231,8.96402597402597,28.9780821917808,7.673,0.264786328826699,299.960906958561,"ESOPUS CREEK AT SHANDAKEN NY","1362198","USA","NY",42.11,-74.38,"NA1983"
"13",100358,1963-06-19,1995-09-14,0,10.231,8.32944583333333,32.2602739726027,10.231,0.317139278131635,Inf,"MCDONALDS BRANCH IN LEBANON STATE FOREST NJ","1466500","USA","NJ",39.88,-74.5,"NA1983"
"14",100442,1973-03-28,1995-09-05,NA,76.73,44.6022456140351,22.4547945205479,NA,NA,NA,"SUSQUEHANNA RIVER AT DANVILLE, PA","1540500","USA","PENNSYLVANIA",40.95,-76.61,"NA1983"
"15",100443,1967-10-27,1995-08-08,23.019,20.461,21.1401611374408,27.8,-2.558,-0.0920143884892086,-11.1125591902342,"YOUNG WOMANS CREEK NEAR RENOVO, PA.","1545600","USA","PA",41.38,-77.69,"NA1983"
"16",100444,1973-03-29,1995-09-05,NA,53.711,37.3105701754386,22.4520547945205,NA,NA,NA,"WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA","1553500","USA","PENNSYLVANIA",40.96,-76.87,"NA1983"
"17",100457,1973-03-21,1995-06-12,NA,56.269,42.7748448275862,22.241095890411,NA,NA,NA,"JUNIATA RIVER AT NEWPORT, PA","1567000","USA","PENNSYLVANIA",40.47,-77.12,"NA1983"
"18",100461,1973-03-26,1995-08-30,NA,66.5,43.3525347826087,22.4438356164384,NA,NA,NA,"SUSQUEHANNA RIVER AT HARRISBURG, PA","1570500","USA","PENNSYLVANIA",40.25,-76.88,"NA1983"
"19",100524,1979-03-29,1993-09-13,33.25,89.519,55.5119795918367,14.4712328767123,56.269,3.88833491101855,169.23007518797,"POTOMAC RIVER AT SHEPHERDSTOWN, WV","1618000","USA","WEST VIRGINIA",39.43,-77.8,"NA1983"
