"","STAT_ID","start_time","end_time","Na_start","Na_end","Na_avg","duration","Na_dif","Na_slope","Na_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100001,1978-05-11,1994-08-03,47.847,104.394,116.166412844037,16.241095890411,56.547,3.48172317813765,118.182958179196,"ST. JOHN RIVER AT VAN BUREN, ME","1015000","USA","ME",47.15,-67.93,"NA1983"
"2",100007,1978-12-01,1994-08-02,217.488,173.99,135.752779069767,15.6794520547945,-43.498,-2.77420408876463,-20.0001839181932,"PENOBSCOT RIVER AT EDDINGTON, ME","1036390","USA","ME",44.82,-68.69,"NA1983"
"3",100009,1978-10-16,2000-09-12,82.645,381.804,226.9166,21.9232876712329,299.159,13.6457179455136,361.980761086575,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE","1049265","USA","MAINE",44.47,-69.68,"NA1983"
"4",100029,1973-01-17,1995-01-17,400.177,608.966,492.856286666667,22.013698630137,208.789,9.48450342252645,52.1741629329022,"MERRIMACK RIVER ABOVE LOWELL, MA","1096550","USA","MA",42.63,-71.37,"NA1983"
"5",100047,1973-05-09,1995-08-29,913.449,2479.361,1277.50426086957,22.3205479452055,1565.912,70.1556253835768,171.428508871322,"BLACKSTONE RIVER AT MILLVILLE, MA","1111230","USA","MA",42.02,-71.56,"NA1983"
"6",100056,1973-01-08,2001-09-26,347.98,642.707,445.983722627737,28.7342465753425,294.727,10.2569941838291,84.6965342835795,"QUINEBAUG RIVER AT JEWETT CITY, CT.","1127000","USA","CONNECTICUT",41.59,-71.98,"NA1983"
"7",100071,1980-10-28,1994-07-12,221.838,226.187,206.650254237288,13.7123287671233,4.34900000000002,0.317159840159841,1.96043960006853,"CONNECTICUT RIVER AT NORTH WALPOLE, NH","1154500","USA","NH",43.12,-72.43,"NA1983"
"8",100134,1973-01-09,1995-09-12,265.335,608.966,397.846447513812,22.6876712328767,343.631,15.1461556575293,129.508357359564,"HOUSATONIC R AT STEVENSON, CT","1205500","USA","CT",41.38,-73.16,"NA1983"
"9",100145,1973-02-21,1997-06-18,260.985,445.763,377.633461538462,24.3369863013699,184.778,7.59247664077451,70.8002375615457,"PECONIC RIVER AT RIVERHEAD NY","1304500","USA","NEW YORK",40.91,-72.68,"NA1983"
"10",100146,1985-02-27,1997-06-18,434.976,607.095,438.997361111111,12.3123287671233,172.119,13.9794025367156,39.5697693665858,"CARMANS RIVER AT YAPHANK NY","1305000","USA","NEW YORK",40.83,-72.9,"NA1983"
