"","STAT_ID","start_time","end_time","Ca_start","Ca_end","Ca_avg","duration","Ca_dif","Ca_slope","Ca_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100001,1978-05-11,1994-08-03,174.651,349.301,335.933550458716,16.241095890411,174.65,10.753584682861,99.9994274295595,"ST. JOHN RIVER AT VAN BUREN, ME","1015000","USA","ME",47.15,-67.93,"NA1983"
"2",100003,1985-11-05,1986-08-05,474.052,274.451,349.30125,0.747945205479452,-199.601,-266.865805860806,-42.1052964653667,"AROOSTOOK RIVER AT FORT FAIRFIELD, ME","1017500","USA","ME",46.77,-67.83,"NA1983"
"3",100005,1978-01-31,1986-08-07,44.91,59.88,54.3476086956522,8.52054794520548,14.97,1.75692926045016,33.3333333333333,"NARRAGUAGUS RIVER AT CHERRYFIELD, ME","1022500","USA","ME",44.6,-67.93,"NA1983"
"4",100006,1973-01-24,1978-10-17,164.671,147.206,136.521871794872,5.73150684931507,-17.465,-3.04719168260038,-10.6059961984806,"PENOBSCOT RIVER AT WEST ENFIELD, ME","1034500","USA","ME",45.23,-68.64,"NA1983"
"5",100007,1978-12-01,1994-08-02,154.691,147.206,125.591837209302,15.6794520547945,-7.48500000000001,-0.47737637602656,-4.8386783975797,"PENOBSCOT RIVER AT EDDINGTON, ME","1036390","USA","ME",44.82,-68.69,"NA1983"
"6",100008,1973-02-21,1978-09-12,124.75,77.345,103.502290322581,5.55890410958904,-47.405,-8.52775998028586,-38,"KENNEBEC RIVER AT BINGHAM, ME","1046500","USA","ME",45.05,-69.88,"NA1983"
"7",100009,1978-10-16,2000-09-12,114.77,128.842,137.594044444444,21.9232876712329,14.072,0.641874531367159,12.261043826784,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE","1049265","USA","MAINE",44.47,-69.68,"NA1983"
"8",100022,1979-04-09,1982-09-15,77.345,117.265,98.7444615384615,3.43835616438356,39.92,11.6101992031873,51.6129032258064,"MERRIMACK RIVER AT CONCORD, NH","1088400","USA","NH",43.2,-71.53,"NA1983"
"9",100029,1973-01-17,1995-01-17,149.701,109.78,129.89016,22.013698630137,-39.921,-1.81346172993155,-26.6671565320205,"MERRIMACK RIVER ABOVE LOWELL, MA","1096550","USA","MA",42.63,-71.37,"NA1983"
"10",100044,1998-10-20,2001-09-10,200.524,303.409,219.496764705882,2.89315068493151,102.885,35.5615767045455,51.3080728491353,"WADING RIVER NEAR NORTON, MA","1109000","USA","MASSACHUSETTS",41.94,-71.17,"NA1983"
"11",100047,1973-05-09,1995-08-29,274.451,474.052,306.045434782609,22.3205479452055,199.601,8.94247759911624,72.727372099209,"BLACKSTONE RIVER AT MILLVILLE, MA","1111230","USA","MA",42.02,-71.56,"NA1983"
"12",100049,1999-01-20,2001-08-28,177.27,369.404,266.739083333333,2.60547945205479,192.134,73.7422818086225,108.384949512044,"BLACKSTONE RIVER AT MANVILLE, RI","1112900","USA","RHODE ISLAND",41.97,-71.47,"NA1983"
"13",100051,1991-10-22,2001-09-12,129.741,216.221,128.842520833333,9.8986301369863,86.48,8.73656241350678,66.6558759374446,"WILLIMANTIC R AT MERROW, CT","1119375","USA","CONNECTICUT",41.83,-72.31,"NA1983"
"14",100052,1974-07-08,2001-09-26,167.166,226.064,156.210185714286,27.2383561643836,58.898,2.16231844699256,35.2332412093368,"SHETUCKET R AT SOUTH WINDHAM, CT","1122610","USA","CONNECTICUT",41.68,-72.16,"NA1983"
