"","STAT_ID","start_time","end_time","HCO3_start","HCO3_end","HCO3_avg","duration","HCO3_dif","HCO3_slope","HCO3_rc","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"1",100001,1978-05-11,1994-08-03,327.777,655.554,650.0909375,16.241095890411,327.777,20.1819509109312,100,"ST. JOHN RIVER AT VAN BUREN, ME","1015000","USA","ME",47.15,-67.93,"NA1983"
"2",100010,1964-09-29,1995-06-21,147.5,65.555,91.439380952381,30.7452054794521,-81.945,-2.66529361967564,-55.5559322033898,"WILD RIVER AT GILEAD, ME","1054200","USA","ME",44.39,-70.97,"NA1983"
"3",100016,2000-04-11,2000-08-23,81.944,163.888,122.916,0.367123287671233,81.944,223.205671641791,100,"LITTLE RIVER NEAR LEBANON, ME","1072540","USA","MAINE",43.4,-70.85,"NA1983"
"4",100017,2000-04-11,2000-08-23,98.333,131.111,114.722,0.367123287671233,32.778,89.2833582089552,33.3336723175333,"GREAT WORKS RIVER NR NORTH BERWICK ME","1072650","USA","MAINE",43.31,-70.73,"NA1983"
"5",100018,2000-04-13,2000-08-29,65.555,131.111,98.333,0.378082191780822,65.556,173.390869565217,100.001525436656,"ISINGLASS R, BATCHELDER RD, NR CTR STRAFFORD, NH","1072845","USA","NEW HAMPSHIRE",43.25,-71.1,"NA1983"
"6",100019,2000-04-12,2000-08-25,98.333,426.11,262.2215,0.36986301369863,327.777,886.211888888889,333.333672317533,"BELLAMY RIVER AT BELLAMY RD, NR DOVER, NH","1072904","USA","NEW HAMPSHIRE",43.18,-70.88,"NA1983"
"7",100020,2000-04-13,2000-08-30,98.333,229.444,163.8885,0.380821917808219,131.111,344.28428057554,133.333672317533,"LAMPREY R BLW COTTON RD, NR DEERFIELD CENTER, NH","1073260","USA","NEW HAMPSHIRE",43.08,-71.23,"NA1983"
"8",100021,2000-04-12,2000-08-24,65.555,147.5,106.5275,0.367123287671233,81.945,223.208395522388,125.00190679582,"NORTH RIVER AT NH 152, NR NOTTINGHAM, NH","1073458","USA","NEW HAMPSHIRE",43.09,-71.05,"NA1983"
"9",100023,2000-04-14,2000-08-29,81.944,114.722,98.333,0.375342465753425,32.778,87.3282481751825,40.0004881382407,"LITTLE SUNCOOK RIVER AT BLACK HALL RD, @ EPSON, NH","1089743","USA","NEW HAMPSHIRE",43.22,-71.34,"NA1983"
"10",100025,2000-04-18,2000-08-28,180.277,344.166,262.2215,0.361643835616438,163.889,453.177916666667,90.9095447561253,"BABOOSIC BROOK @ BEDFORD ROAD, NEAR MERRIMACK, NH","1094005","USA","NEW HAMPSHIRE",42.89,-71.51,"NA1983"
